,Unnamed: 0,date_stolen,frame_colors,frame_model,id,is_stock_img,large_img,manufacturer_name,serial,stolen,stolen_location,thumb,title,year,stolen_zipcode,year_stolen
6093,6093,2018-05-04 06:00:00,"['Red', 'White', 'Black']",Absolute 1.4,391375,False,https://files.bikeindex.org/uploads/Pu/116665/large_fuji_may_2018.jpg,Fuji,PE050IC0180G,True,"San Francisco,CA,94103",https://files.bikeindex.org/uploads/Pu/116665/small_fuji_may_2018.jpg,2013 Fuji Absolute 1.4,2013.0,94103,2018
6095,6095,2018-05-04 06:00:00,"['Silver, gray or bare metal']",Diverge,391248,False,https://files.bikeindex.org/uploads/Pu/116593/large_IMG_20180211_130625.jpg,Specialized,WSBC602058905N,True,"Oakland,CA,94602",https://files.bikeindex.org/uploads/Pu/116593/small_IMG_20180211_130625.jpg,2017 Specialized Diverge,2017.0,94602,2018
6097,6097,2018-05-04 06:00:00,['Purple'],Premio,388494,False,https://files.bikeindex.org/uploads/Pu/116717/large_1909547A-831A-4A31-A249-EE135D9F5E1E.jpeg,Bianchi,H2H02157,True,"Oakland,CA,94607",https://files.bikeindex.org/uploads/Pu/116717/small_1909547A-831A-4A31-A249-EE135D9F5E1E.jpeg,Bianchi Premio,,94607,2018
6101,6101,2018-05-04 06:00:00,['Black'],Slammer,391667,False,,GT Bicycles,CM17H511007,True,"Santa Rosa,CA,95404",,2018 GT Bicycles Slammer,2018.0,95404,2018
6102,6102,2018-05-04 06:00:00,['Black'],Nine-3,391337,False,,Felt,F1511L1482,True,"San Francisco,CA,94115",,2015 Felt Nine-3,2015.0,94115,2018
6107,6107,2018-05-03 22:42:47,['Blue'],atx,391104,False,https://files.bikeindex.org/uploads/Pu/116507/large_1DEF0F12-1A73-43C1-A537-393561292B7F.jpg,Giant,C32J4873,True,"San Diego,CA,92115",https://files.bikeindex.org/uploads/Pu/116507/small_1DEF0F12-1A73-43C1-A537-393561292B7F.jpg,2014 Giant atx,2014.0,92115,2018
6111,6111,2018-05-03 06:00:00,"['Green', 'Black']",Contend 1-TR,392142,False,https://files.bikeindex.org/uploads/Pu/117230/large_Bike.jpg,Giant,C9CC9210,True,"San Jose,CA,95131",https://files.bikeindex.org/uploads/Pu/117230/small_Bike.jpg,2017 Giant Contend 1-TR,2017.0,95131,2018
6116,6116,2018-05-03 06:00:00,['Yellow or Gold'],Coaster,391917,False,,Pure Fix,absent,True,"Los Angeles,CA,90048",,2017 Pure Fix Coaster,2017.0,90048,2018
6118,6118,2018-05-03 06:00:00,['Yellow or Gold'],Coaster,391919,False,https://files.bikeindex.org/uploads/Pu/117047/large_104F4F29-A98B-414B-8733-2870D6738544.jpeg,Pure Fix,absent,True,"Los Angeles,CA,90048",https://files.bikeindex.org/uploads/Pu/117047/small_104F4F29-A98B-414B-8733-2870D6738544.jpeg,Pure Fix Coaster,,90048,2018
6122,6122,2018-05-03 06:00:00,"['Silver, gray or bare metal']",7.4,391301,False,https://files.bikeindex.org/uploads/Pu/116613/large_006F5A15-BF2C-4166-AC40-43CFDD718EE0.jpeg,Trek,wtu108c6277k,True,"San Francisco,94110",https://files.bikeindex.org/uploads/Pu/116613/small_006F5A15-BF2C-4166-AC40-43CFDD718EE0.jpeg,2015 Trek 7.4,2015.0,94110,2018
6128,6128,2018-05-03 00:30:46,"['Black', 'Green']",Oltre XR4,390959,False,,Bianchi,WBK453307M,True,"Hayward,CA,94545-1506",,2017 Bianchi Oltre XR4,2017.0,94545,2018
6129,6129,2018-05-02 23:01:18,['Orange'],Journeyman,390947,False,,Salsa,absent,True,"Denver,CA,80204 ",,2018 Salsa Journeyman,2018.0,80204,2018
6130,6130,2018-05-02 17:36:56,['Blue'],A Homer Hilsen,390908,False,,Rivendell Bicycle Works,absent,True,"San Francisco,CA,94117-4164",,2011 Rivendell Bicycle Works A Homer Hilsen,2011.0,94117,2018
6135,6135,2018-05-02 06:00:00,"['Silver, gray or bare metal', 'Black']",Mountain bike,390963,False,,Iron Horse Bicycles,absent,True,"Santa Monica,CA,90401",,Iron Horse Bicycles Mountain bike,,90401,2018
6137,6137,2018-05-02 06:00:00,['Blue'],Century 2,392961,False,,Diamondback,absent,True,"San Francisco,CA,94118",,2016 Diamondback Century 2,2016.0,94118,2018
6144,6144,2018-05-02 06:00:00,"['Black', 'Red']",Epic HT Womens Expert Carbon WC,390984,False,https://files.bikeindex.org/uploads/Pu/116440/large_Julia_s_bike.png,Specialized,WSBC614055411M,True,"San Diego,CA,92130",https://files.bikeindex.org/uploads/Pu/116440/small_Julia_s_bike.png,2016 Specialized Epic HT Womens Expert Carbon WC,2016.0,92130,2018
6145,6145,2018-05-02 06:00:00,['Purple'],SM800,390943,False,https://files.bikeindex.org/uploads/Pu/116403/large_2018-05-02_1551.png,Cannondale,absent,True,"Sacramento,CA,95816",https://files.bikeindex.org/uploads/Pu/116403/small_2018-05-02_1551.png,1989 Cannondale SM800,1989.0,95816,2018
6168,6168,2018-05-01 06:00:00,['White'],F60,392439,False,https://files.bikeindex.org/uploads/Pu/117433/large_IMG_20180101_110757.jpg,Felt,absent,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/117433/small_IMG_20180101_110757.jpg,2003 Felt F60,2003.0,94110,2018
6170,6170,2018-05-01 06:00:00,['Blue'],,391059,False,https://files.bikeindex.org/uploads/Pu/116481/large_My_ebike.jpg,Sondors,absent,True,"Fremont,CA,94538",https://files.bikeindex.org/uploads/Pu/116481/small_My_ebike.jpg,2015 Sondors,2015.0,94538,2018
6171,6171,2018-05-01 06:00:00,['Black'],Sirrus Expert Carbon X1,390724,False,https://files.bikeindex.org/uploads/Pu/117438/large_sirrusx1.jpeg,Specialized,604127592M,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/117438/small_sirrusx1.jpeg,2017 Specialized Sirrus Expert Carbon X1,2017.0,94110,2018
6172,6172,2018-05-01 06:00:00,['Green'],Virata,392442,False,https://files.bikeindex.org/uploads/Pu/117439/large_IMG_20180101_110757.jpg,Bianchi,absent,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/117439/small_IMG_20180101_110757.jpg,2005 Bianchi Virata,2005.0,94110,2018
6173,6173,2018-05-01 06:00:00,['Black'],Madone 5.2,390801,False,https://files.bikeindex.org/uploads/Pu/116318/large_284667_10150251675311104_7674120_n.jpg,Trek,WTU337CT133F,True,"Greenbrae,CA,94904",https://files.bikeindex.org/uploads/Pu/116318/small_284667_10150251675311104_7674120_n.jpg,2011 Trek Madone 5.2,2011.0,94904,2018
6174,6174,2018-05-01 06:00:00,['Black'],Crosstrail Sport Disc,390777,False,,Specialized,WSBC606061157J,True,"San Francisco,CA,94105",,2016 Specialized Crosstrail Sport Disc,2016.0,94105,2018
6180,6180,2018-05-01 06:00:00,['Stickers tape or other cover-up'],Sirrus Sport Disc,390714,False,https://files.bikeindex.org/uploads/Pu/116308/large_IMG_9160.JPG,Specialized,WSBC602307718L,True,"San Francisco,94110",https://files.bikeindex.org/uploads/Pu/116308/small_IMG_9160.JPG,2014 Specialized Sirrus Sport Disc,2014.0,94110,2018
6181,6181,2018-05-01 06:00:00,"['Silver, gray or bare metal']",Merit 1,390774,False,https://files.bikeindex.org/uploads/Pu/116306/large_Raleigh_Merit_1.png,Raleigh,U17GK06015,True,"Los Angeles,CA,90064",https://files.bikeindex.org/uploads/Pu/116306/small_Raleigh_Merit_1.png,2018 Raleigh Merit 1,2018.0,90064,2018
6187,6187,2018-04-30 06:00:00,['Blue'],Sprintour ,390576,False,https://files.bikeindex.org/uploads/Pu/116194/large_Photo-12_26_12_-10.32.32-7.JPG,Motobecane,absent,True,"San Diego,CA,92101",https://files.bikeindex.org/uploads/Pu/116194/small_Photo-12_26_12_-10.32.32-7.JPG,2008 Motobecane Sprintour,2008.0,92101,2018
6188,6188,2018-04-30 06:00:00,['White'],CrissCross,390569,False,https://files.bikeindex.org/uploads/Pu/116184/large_IMG_5881.jpg,Schwinn,S300665,True,"Los Angeles,CA,90027",https://files.bikeindex.org/uploads/Pu/116184/small_IMG_5881.jpg,Schwinn CrissCross,,90027,2018
6190,6190,2018-04-30 06:00:00,['Green'],Marlin 5,374076,False,,Trek,WTU081C1376L,True,"Beverly Hills,CA,90212",,2017 Trek Marlin 5,2017.0,90212,2018
6197,6197,2018-04-30 06:00:00,"['Black', 'Red']",Hybrid,391798,False,https://files.bikeindex.org/uploads/Pu/117048/large_16-ultrasport-1-m-black-1000.jpg,KHS Bicycles,V16200533,True,"Play Del Rey,CA,90293",https://files.bikeindex.org/uploads/Pu/117048/small_16-ultrasport-1-m-black-1000.jpg,2018 KHS Bicycles Hybrid,2018.0,90293,2018
6203,6203,2018-04-30 06:00:00,['Purple'],Valencia B,122708,False,https://files.bikeindex.org/uploads/Pu/116266/large_IMG_6604.JPG,Mission Bicycles,M16050687,True,"San Francisco,CA,94114",https://files.bikeindex.org/uploads/Pu/116266/small_IMG_6604.JPG,2017 Mission Bicycles Valencia B,2017.0,94114,2018
6209,6209,2018-04-30 06:00:00,"['Silver, gray or bare metal']",Caffeine 29 3,391101,False,https://files.bikeindex.org/uploads/Pu/116506/large_IMG_1032.jpg,Cannondale,absent,True,"Bakersfield,CA,93311",https://files.bikeindex.org/uploads/Pu/116506/small_IMG_1032.jpg,2009 Cannondale Caffeine 29 3,2009.0,93311,2018
6212,6212,2018-04-29 06:00:00,['Teal'],Via Nirone Claris Compact,392510,False,https://files.bikeindex.org/uploads/Pu/117484/large_IMG_0195.JPG,Bianchi,WBK967931H,True,"San Francisco,CA,94107",https://files.bikeindex.org/uploads/Pu/117484/small_IMG_0195.JPG,2014 Bianchi Via Nirone Claris Compact,2014.0,94107,2018
6218,6218,2018-04-29 06:00:00,"['Silver, gray or bare metal']",FX,390465,False,,Trek,WTU226C0719M,True,"Los Angeles,CA,90024",,2018 Trek FX,2018.0,90024,2018
6219,6219,2018-04-29 06:00:00,"['Red', 'White']",RoadRacer SL01,390517,False,https://files.bikeindex.org/uploads/Pu/116150/large_IMG_2994__1_.jpg,BMC,HRCI1K0032,True,"San Francisco,CA,94107",https://files.bikeindex.org/uploads/Pu/116150/small_IMG_2994__1_.jpg,2012 BMC RoadRacer SL01,2012.0,94107,2018
6220,6220,2018-04-29 06:00:00,['Blue'],Xenith (time trial bike),390518,False,https://files.bikeindex.org/uploads/Pu/116151/large_IMG_2996__1_.jpg,Jamis,E19G07F000,True,"San Francisco,CA,94107",https://files.bikeindex.org/uploads/Pu/116151/small_IMG_2996__1_.jpg,2009 Jamis Xenith (time trial bike),2009.0,94107,2018
6221,6221,2018-04-29 06:00:00,"['Red', 'Red']",S-Works Shiv (time trial bike),390513,False,https://files.bikeindex.org/uploads/Pu/116148/large_IMG_3008__1_.jpg,Specialized,STAP110C0009,True,"San,CA,94107",https://files.bikeindex.org/uploads/Pu/116148/small_IMG_3008__1_.jpg,2012 Specialized S-Works Shiv (time trial bike),2012.0,94107,2018
6222,6222,2018-04-29 06:00:00,['Black'],MORTIROLO CARBON 27.5,390519,False,https://files.bikeindex.org/uploads/Pu/116152/large_Screen_Shot_2018-04-19_at_8.33.41_AM__1_.png,Benotti,absent,True,"San Francisco,CA,94107",https://files.bikeindex.org/uploads/Pu/116152/small_Screen_Shot_2018-04-19_at_8.33.41_AM__1_.png,2018 Benotti MORTIROLO CARBON 27.5,2018.0,94107,2018
6223,6223,2018-04-29 06:00:00,['Black'],Brougham,391100,False,,Felt,HT0503945,True,"Los Angeles,CA,90064",,2011 Felt Brougham,2011.0,90064,2018
6225,6225,2018-04-29 00:36:01,['Orange'],Stage Race,390448,False,https://files.bikeindex.org/uploads/Pu/116101/large_steelman.JPG,Steelman Cycles,absent,True,"San Francisco,CA,94117",https://files.bikeindex.org/uploads/Pu/116101/small_steelman.JPG,Steelman Cycles Stage Race,,94117,2018
6250,6250,2018-04-27 06:00:00,['Orange'],Fuel EX 5,390343,False,https://files.bikeindex.org/uploads/Pu/115980/large_IMG_20170702_164939.jpg,Trek,WTU118G0213K,True,"San Francisco,94105",https://files.bikeindex.org/uploads/Pu/115980/small_IMG_20170702_164939.jpg,2016 Trek Fuel EX 5,2016.0,94105,2018
6251,6251,2018-04-27 06:00:00,['Blue'],HaulaDay,390319,False,https://files.bikeindex.org/uploads/Pu/115948/large_Screenshot_2018-04-27-08-08-08.png,Bike Friday,31848,True,"Sacramento,CA,95817",https://files.bikeindex.org/uploads/Pu/115948/small_Screenshot_2018-04-27-08-08-08.png,2015 Bike Friday HaulaDay cargo bike (rear storage),2015.0,95817,2018
6252,6252,2018-04-27 06:00:00,['Black'],Original,390370,False,,Pure Fix,absent,True,"West Los Angeles,CA,90064",,2011 Pure Fix Original,2011.0,90064,2018
6254,6254,2018-04-27 06:00:00,"['Blue', 'Yellow or Gold', 'Orange']",Morpho,390305,False,https://files.bikeindex.org/uploads/Pu/115927/large_PA203922.jpg,Ciocc,RB009-580-E-C10 | A29,True,"Riverside,CA,92501",https://files.bikeindex.org/uploads/Pu/115927/small_PA203922.jpg,2017 Ciocc Morpho,2017.0,92501,2018
6258,6258,2018-04-27 06:00:00,['Black'],Smart Form C3 Alloy,390282,False,,Cannondale,100140160002,True,"Berkeley,CA,83616",,2018 Cannondale Smart Form C3 Alloy,2018.0,83616,2018
6268,6268,2018-04-27 06:00:00,['White'],Liv Avail,390339,False,https://files.bikeindex.org/uploads/Pu/115971/large_1.jpg,Giant,C9AV7413,True,"San Francisco,94114",https://files.bikeindex.org/uploads/Pu/115971/small_1.jpg,2016 Giant Liv Avail,2016.0,94114,2018
6269,6269,2018-04-27 06:00:00,"['Blue', 'Stickers tape or other cover-up']",Mountain Bike,391401,False,https://files.bikeindex.org/uploads/Pu/116698/large_IMG_7908.jpg,Giant,absent,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/116698/small_IMG_7908.jpg,1993 Giant Mountain Bike,1993.0,94110,2018
6270,6270,2018-04-27 06:00:00,['Black'],V7,390341,False,,PUBLIC bikes,ICPB15C1202,True,"Oakland,CA,94609",,2015 PUBLIC bikes V7,2015.0,94609,2018
6271,6271,2018-04-26 22:00:00,['Red'],Luath 700,408751,False,,Islabikes,AA21237431,True,"Palo Alto,CA,94306",,Islabikes Luath 700,,94306,2018
6275,6275,2018-04-26 06:00:00,"['Silver, gray or bare metal']",road bike,390178,False,,Forte (PerformanceBike.com),absent,True,"Sunnyvale,CA,94089",,Forte (PerformanceBike.com) road bike,,94089,2018
6277,6277,2018-04-26 06:00:00,['Black'],Speedster S30,390322,False,https://files.bikeindex.org/uploads/Pu/115950/large_IMG_20161010_152718.jpg,SCOTT,absent,True,"Los Angeles,CA,90034",https://files.bikeindex.org/uploads/Pu/115950/small_IMG_20161010_152718.jpg,2007 SCOTT Speedster S30,2007.0,90034,2018
6281,6281,2018-04-26 06:00:00,"['Black', 'Red']",s3,390385,False,https://files.bikeindex.org/uploads/Pu/116017/large_30848304_10155746296124983_2589710801891485929_o.jpg,Cervélo,absent,True,"Oakland,CA,94618",https://files.bikeindex.org/uploads/Pu/116017/small_30848304_10155746296124983_2589710801891485929_o.jpg,2016 Cervélo s3,2016.0,94618,2018
6283,6283,2018-04-26 06:00:00,['White'],Superfly,390259,False,https://files.bikeindex.org/uploads/Pu/115889/large_IMG_20140301_164652.jpg,Trek,wtu223mc5111g,True,"San Francisco,CA,94133",https://files.bikeindex.org/uploads/Pu/115889/small_IMG_20140301_164652.jpg,2013 Trek Superfly,2013.0,94133,2018
6295,6295,2018-04-26 01:11:30,"['Silver, gray or bare metal']",Revenio 2.0,390151,False,,Raleigh,absent,True,"San Francisco,CA,94103",,2014 Raleigh Revenio 2.0,2014.0,94103,2018
6300,6300,2018-04-25 06:00:00,['Yellow or Gold'],ALLEZ DSW SL SPRINT EXPERT,390179,False,https://files.bikeindex.org/uploads/Pu/115828/large_31236296_1876406699077051_1158054967_o.jpg,Specialized,Wsbc601069478m,True,"Northridge,CA,91325",https://files.bikeindex.org/uploads/Pu/115828/small_31236296_1876406699077051_1158054967_o.jpg,2017 Specialized ALLEZ DSW SL SPRINT EXPERT,2017.0,91325,2018
6311,6311,2018-04-25 06:00:00,"['Silver, gray or bare metal']",Boss.three 700c Men's Hybrid Bicycle,391376,False,https://files.bikeindex.org/uploads/Pu/116904/large_SAM_0106.JPG,Infinity Cycle Works,JT183429330,True,"Hawthorne,CA,90250-2724",https://files.bikeindex.org/uploads/Pu/116904/small_SAM_0106.JPG,2018 Infinity Cycle Works Boss.three 700c Men's Hybrid Bicycle,2018.0,90250,2018
6317,6317,2018-04-25 06:00:00,"['Blue', 'Purple', 'Silver, gray or bare metal']",Mountain Track,390152,False,https://files.bikeindex.org/uploads/Pu/116354/large_download.jpg,Trek,GN5M3191,True,"Laguna Woods,CA,92637",https://files.bikeindex.org/uploads/Pu/116354/small_download.jpg,1995 Trek Mountain Track,1995.0,92637,2018
6320,6320,2018-04-25 00:09:50,['Blue'],C-sport 1 Disc Azzurro 43 cm,390056,False,,Bianchi,WBK739178K,True,"San Diego,CA,92109",,2017 Bianchi C-sport 1 Disc Azzurro 43 cm,2017.0,92109,2018
6322,6322,2018-04-24 06:00:00,['Black'],Flat Bar Road Bike,390028,False,,Fuji,31-8559-BLK-019,True,"Sunnyvale,CA,94086",,2018 Fuji Flat Bar Road Bike,2018.0,94086,2018
6327,6327,2018-04-24 06:00:00,['Black'],Roubaix SL4 Sora,390016,True,https://bikebook.s3.amazonaws.com/uploads/Fr/3278/64825,Specialized,wsbc605001814i,True,"San Francisco,CA,94110",https://bikebook.s3.amazonaws.com/uploads/Fr/3278/small_64825,2014 Specialized Roubaix SL4 Sora,2014.0,94110,2018
6329,6329,2018-04-24 06:00:00,"['Silver, gray or bare metal']",75x,390061,False,,Felt,F1206K3496,True,"Oakland,CA,94612",,2013 Felt 75x,2013.0,94612,2018
6337,6337,2018-04-24 06:00:00,['Blue'],LeMans Mixte,389998,False,https://files.bikeindex.org/uploads/Pu/115694/large_Screen_Shot_2018-04-23_at_12.49.55_PM.png,Centurion,N2P9706 ,True,"Oakland,CA,94612",https://files.bikeindex.org/uploads/Pu/115694/small_Screen_Shot_2018-04-23_at_12.49.55_PM.png,Centurion LeMans Mixte,,94612,2018
6339,6339,2018-04-24 06:00:00,['Black'],FX 3,376128,False,https://files.bikeindex.org/uploads/Pu/104261/large_IMG_3757.JPG,Trek,WTU221C0708M,True,"Oakland,CA,94610",https://files.bikeindex.org/uploads/Pu/104261/small_IMG_3757.JPG,2017 Trek FX 3,2017.0,94610,2018
6343,6343,2018-04-24 06:00:00,"['Blue', 'White']",Zurich,390511,False,https://files.bikeindex.org/uploads/Pu/116161/large_Screen_Shot_2018-04-29_at_2.39.49_PM.png,LeMond Racing Cycles,absent,True,"Los Angeles,CA,90064",https://files.bikeindex.org/uploads/Pu/116161/small_Screen_Shot_2018-04-29_at_2.39.49_PM.png,2000 LeMond Racing Cycles Zurich,2000.0,90064,2018
6344,6344,2018-04-24 06:00:00,"['Red', 'Black']",Discovery-2,390527,False,https://files.bikeindex.org/uploads/Pu/116162/large_Screen_Shot_2018-04-29_at_2.47.48_PM.png,Fuji,absent,True,"Los Angeles,CA,90064",https://files.bikeindex.org/uploads/Pu/116162/small_Screen_Shot_2018-04-29_at_2.47.48_PM.png,2003 Fuji Discovery-2,2003.0,90064,2018
6349,6349,2018-04-24 06:00:00,['White'],Flash v1 Electric Bike,390022,False,https://files.bikeindex.org/uploads/Pu/115726/large_flash.png,Flash,T17L1099,True,"San Francisco,CA,94110",https://files.bikeindex.org/uploads/Pu/115726/small_flash.png,2018 Flash Flash v1 Electric Bike,2018.0,94110,2018
6362,6362,2018-04-23 06:00:00,"['Silver, gray or bare metal']",7.1 FX,389916,False,https://files.bikeindex.org/uploads/Pu/115564/large_bike_bay-bridge.jpg,Trek,WTU005C3655F,True,"Oakland,CA,94610",https://files.bikeindex.org/uploads/Pu/115564/small_bike_bay-bridge.jpg,Trek 7.1 FX,,94610,2018
6368,6368,2018-04-23 06:00:00,"['Silver, gray or bare metal']",7.1 FX,389918,False,https://files.bikeindex.org/uploads/Pu/115566/large_bike_serial-number.jpg,Trek,WTU005C3655F,True,"Oakland,CA,94610",https://files.bikeindex.org/uploads/Pu/115566/small_bike_serial-number.jpg,Trek 7.1 FX,,94610,2018
6377,6377,2018-04-23 06:00:00,"['Silver, gray or bare metal', 'Stickers tape or other cover-up', 'Red']",Defy 5,389978,False,https://files.bikeindex.org/uploads/Pu/115678/large_20180419_102252-1.jpg,Giant,c53v2978,True,"Woodland Hills,CA,91371",https://files.bikeindex.org/uploads/Pu/115678/small_20180419_102252-1.jpg,Giant Defy 5,,91371,2018
6378,6378,2018-04-23 06:00:00,['Black'],,389974,False,https://files.bikeindex.org/uploads/Pu/115672/large_38884_1024x1024.jpg,Golden Cycles,absent,True,"Davis,CA,95616",https://files.bikeindex.org/uploads/Pu/115672/small_38884_1024x1024.jpg,Golden Cycles,,95616,2018
6381,6381,2018-04-23 06:00:00,['White'],Lexa SL C,389881,False,https://files.bikeindex.org/uploads/Pu/115538/large_11056032_1567639066849938_1577969869_n.jpg,Trek,WTU332C7405G,True,"San Franisco,CA,94122",https://files.bikeindex.org/uploads/Pu/115538/small_11056032_1567639066849938_1577969869_n.jpg,2013 Trek Lexa SL C,2013.0,94122,2018
